Year,Observed_flow,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30,Ensemble_31,Ensemble_32,Ensemble_33,Ensemble_34,Ensemble_35,Ensemble_36,Ensemble_37,Ensemble_38,Ensemble_39,Ensemble_40,Ensemble_41,Ensemble_42,Ensemble_43,Ensemble_44,Ensemble_45,Ensemble_46,Ensemble_47,Ensemble_48,Ensemble_49,Ensemble_50,Ensemble_51
1965,0.924366667,0.770849323,0.91167711,0.748859282,0.694158193,0.840085033,0.806848692,0.794761448,0.790829493,0.804359476,0.713334306,0.967199584,0.780299664,0.707023199,0.765450806,0.761584635,0.725121588,0.726138129,0.721076992,0.769013642,0.784305976,0.86401601,0.706527907,0.828303229,0.704443276,0.847422108,0.715124623,0.753702601,1.060071735,0.715418435,0.919784596,0.947400689,0.829821297,0.776829222,0.690906987,1.039821239,1.013960132,0.727539138,0.756704229,0.716842689,0.813433499,0.827031951,0.711643523,0.715171408,0.896182281,1.003682436,0.73329563,0.756551462,0.942316541,0.762224827,0.709688067,1.30569093
1966,1.401666667,2.333580517,2.580067382,2.236764418,1.983541258,2.285752153,2.338335221,2.304604298,2.247499771,2.353638859,2.061506089,2.832597472,2.207768267,2.0452402,2.236256135,2.218240165,2.108273776,2.13016606,2.091258766,2.319414412,2.364576295,2.558034176,2.021906538,2.504731134,2.030859993,2.541471755,2.069680294,2.244756823,3.111102227,2.074145964,2.680262859,2.804588592,2.342109543,2.317253645,1.969025754,3.085342533,2.905424993,2.142722403,2.264026266,2.062041799,2.412534117,2.44523977,2.055377468,2.071741645,2.611855531,2.829467054,2.108258288,2.208233079,2.713694897,2.285957213,2.046423134,3.659164738
1967,2.537333333,3.20088196,3.450268698,3.087294205,2.824676868,3.144833363,2.94742859,3.169822004,3.108653631,3.22373688,2.921665924,3.73747164,3.055259797,2.889273125,3.107823756,3.0859783,2.980159251,2.98629522,2.957667416,3.181047334,3.231331676,3.429192458,2.864503803,3.384501429,2.877216284,3.425847244,2.930990588,3.115381515,4.060750708,2.932285195,3.566131277,3.706383777,3.20648734,3.176218301,2.8064055,4.050628515,3.782064792,2.995169364,3.120330987,2.913149227,3.273794402,3.312772863,2.912357831,2.932183581,3.467649949,3.716587649,2.957571852,3.084101486,3.587259406,3.144560118,2.90355139,4.668183918
1968,2.384966667,2.688100103,2.943447068,2.584317438,2.369673312,2.659866387,2.474855797,2.439962236,2.627892507,2.725477203,2.452685421,3.173649029,2.583666207,2.425066888,2.615098968,2.597708379,2.502903702,2.508145721,2.483754213,2.674469219,2.708433264,2.886539821,2.405323393,2.841038326,2.414650004,2.876371838,2.460682577,2.619202019,3.448805539,2.461847794,3.034631645,3.136815407,2.718022943,2.677004294,2.354156307,3.430005554,3.22173617,2.515712588,2.614126862,2.446954506,2.748336044,2.804592946,2.444796961,2.461668575,2.950594847,3.182187152,2.488601562,2.592261189,3.059875683,2.631690063,2.437155851,3.999180865
1969,3.403,3.57116568,3.839808935,3.4380392,3.159512088,3.511153115,3.297401601,3.250272919,3.769733658,3.599170729,3.266947702,4.127439589,3.410396357,3.231343711,3.473157465,3.448201675,3.331515523,3.338835911,3.306346635,3.553026901,3.591367148,3.80337209,3.203399474,3.747105575,3.217891397,3.782808288,3.277210106,3.481225002,4.459332697,3.278592163,3.962740262,4.0845203,3.574523986,3.546024351,3.139103301,4.453325668,4.16881078,3.348792321,3.476046237,3.257307342,3.635998662,3.693689444,3.256542124,3.278638307,3.859953004,4.12684312,3.306402684,3.446381428,3.985627941,3.498304407,3.246870878,5.115492136
1970,1.122566667,1.297478931,1.499486315,1.248605303,1.149708916,1.323007491,1.197979616,1.184711111,1.404717213,1.34561795,1.187774247,1.599281866,1.286635151,1.175320323,1.281020247,1.271521345,1.211079488,1.21344112,1.202698805,1.2941689,1.311733323,1.430010962,1.171717509,1.383636657,1.1703112,1.407754819,1.191444314,1.266444817,1.74278053,1.192080691,1.526937736,1.568164531,1.363487105,1.304851248,1.142936117,1.710456451,1.651431839,1.216592683,1.264087319,1.191304142,1.347608475,1.38550795,1.184368947,1.191746784,1.485732395,1.6403416,1.219238084,1.265581268,1.554158723,1.271154646,1.18060249,2.099396435
1971,1.382633333,1.547977183,1.775702706,1.488647486,1.354715798,1.567057445,1.416103299,1.398991747,1.684927316,1.596248601,1.574757119,1.914485646,1.518445361,1.387186459,1.519475176,1.506370077,1.432643865,1.435833486,1.421770516,1.542967354,1.571591966,1.715378364,1.382101127,1.6648388,1.380922862,1.694668678,1.407781265,1.503826598,2.099844145,1.408553191,1.818655863,1.885348078,1.609313653,1.554033042,1.345943602,2.069702579,1.975069943,1.439872771,1.506802645,1.406768932,1.613291962,1.65013775,1.398676063,1.408246942,1.769163161,1.943756703,1.441025708,1.500317775,1.848540412,1.519790014,1.394008737,2.515849571
1972,1.311333333,1.406916901,1.595600647,1.356038062,1.252933802,1.419902123,1.303289186,1.287816942,1.5071917,1.442938731,1.422864546,1.405997592,1.384926684,1.27967227,1.379463285,1.37348821,1.316942056,1.319284456,1.308240201,1.400308389,1.417079496,1.530806096,1.273399452,1.487573564,1.274434722,1.510269932,1.29647276,1.373679941,1.847529679,1.297145842,1.62667457,1.668310367,1.463590025,1.407335687,1.245880674,1.81798633,1.747780128,1.322677952,1.371242325,1.293490295,1.451715904,1.485720083,1.289111349,1.296781929,1.58175738,1.738001823,1.319123324,1.366843736,1.651348546,1.379279624,1.285163931,2.202711856
1973,1.523666667,1.669163045,1.907782894,1.602506356,1.465929979,1.689415445,1.532459574,1.513275768,1.808734735,1.72090684,1.697941677,1.6631323,1.725745572,1.501086221,1.640529502,1.627159852,1.550317333,1.553571615,1.538478441,1.664661784,1.689113255,1.834631785,1.494545093,1.784180561,1.494329587,1.812522909,1.523419921,1.625873218,2.235405658,1.524243863,1.953545882,2.0140043,1.733261552,1.676664575,1.456377656,2.2013686,2.105636176,1.558214521,1.622548815,1.521199264,1.728460629,1.7779955,1.513526265,1.523947426,1.899601144,2.083586541,1.55694571,1.620780232,1.983314941,1.634078431,1.508505339,2.665863102
1974,1.1344,1.025534309,1.198176702,0.989586253,0.916376935,1.052692594,0.951878972,0.942565872,1.11263237,1.069134022,1.05382143,1.041988035,1.068085341,0.944454969,1.016381574,1.009825081,0.961688971,0.963350062,0.955637001,1.023426462,1.038599514,1.136494653,0.933427599,1.095566571,0.931529064,1.117177017,0.947135814,1.002963986,1.390473215,0.947602633,1.214837582,1.246679498,1.090240699,1.033140827,0.911489626,1.364700329,1.32208095,0.965545643,1.001165869,0.948108022,1.070436696,1.098264047,0.941979174,0.947293685,1.182564546,1.313935227,0.970159128,1.004284027,1.239769048,1.007387454,0.939146499,1.692109248
1975,2.597,3.152630579,3.403445905,3.035854588,2.791689069,3.104425791,2.911281343,2.871502301,3.330217008,3.163132844,3.128048753,3.069507095,3.180776942,2.885986006,3.657596711,3.04608034,2.942891954,2.948910126,2.921071309,3.136997834,3.171330305,3.361970204,2.830548004,3.309106634,2.842804798,3.345481441,2.895062801,3.074508091,3.966759753,2.896352511,3.509294035,3.61814929,3.16558769,3.13192574,2.773960904,3.95894414,3.697905528,2.957536201,3.069248996,2.877841917,3.213629035,3.265151508,2.876978436,2.896217277,3.415843983,3.662930786,2.921053489,3.044023758,3.531305281,3.089153035,2.868369457,4.564631612
1976,0.826566667,0.851828885,1.0066696,0.823128516,0.766004635,0.880472584,0.793813144,0.786991039,0.92447164,0.893375608,0.880251212,0.873141839,0.891065616,0.788069064,1.06318997,0.861431947,0.801627375,0.802947528,0.796935541,0.850586967,0.862094158,0.947007317,0.780215842,0.908591716,0.777870445,0.927539988,0.790149452,0.834439164,1.157929195,0.7905016,1.015910139,1.03870508,0.915443869,0.859646102,0.762225617,1.132674443,1.109358829,0.804511997,0.832869873,0.791948522,0.891151285,0.915490253,0.786127129,0.790231559,0.989562224,1.106230566,0.810583484,0.837444732,1.039695769,0.836815912,0.783883288,1.420367693
1977,1.165666667,1.858377567,2.117737206,1.762913546,1.520363035,1.83367109,1.636110262,1.59482275,2.036003777,1.8953551,1.863474721,1.788196686,1.901941742,1.597936497,2.32358754,1.746012966,1.586578323,1.665794067,1.620102941,1.846420358,1.883464689,2.089475152,1.563366282,2.010313623,1.569583395,2.049464763,1.597844337,1.781507204,2.562355798,1.615213761,2.191056563,2.29524029,1.878750145,1.850858557,1.507993976,2.531319223,2.406349199,1.677785899,1.790311241,1.600676907,1.93247683,1.975520023,1.588556186,1.605389154,2.14035375,2.341384432,1.650139726,1.762454569,2.231732885,1.805990877,1.574873297,3.07552502
1978,1.946,2.135104257,2.371589075,2.052868801,1.883848726,2.128362281,1.966572514,1.93972115,2.281435636,2.167367272,2.137407688,2.102348176,2.176894596,1.949023079,2.546761551,2.068282044,1.927524523,2.081230749,1.973831368,2.124222968,2.150517269,2.305424313,1.914084469,2.257374954,1.919190436,2.287907486,1.955329618,2.080502944,2.769048616,1.956335748,2.436170777,2.510295067,2.180450647,2.12987265,1.871856189,2.742073726,2.597384659,1.998587232,2.076551651,1.946800515,2.190060376,2.23993821,1.942982147,1.956036743,2.367946184,2.571705725,1.983232078,2.061600029,2.462212111,2.090236978,1.936807119,3.243020811
1979,1.136666667,1.258873858,1.441683945,1.21096177,1.078890554,1.260911785,1.139885589,1.115873246,1.373846313,1.286025561,1.266791526,1.240350109,1.286462873,1.116558753,1.569002682,1.222330727,1.109629149,1.222448721,1.209005151,1.25143151,1.277729041,1.411032402,1.103115109,1.358163167,1.102000571,1.386037724,1.120100339,1.208837534,1.729355875,1.122271087,1.480865753,1.547787762,1.301657248,1.253085578,1.072297598,1.704931721,1.635239537,1.156930322,1.226119097,1.122886658,1.322255246,1.333288091,1.113511868,1.120929143,1.447596648,1.593468724,1.153157112,1.20257445,1.512114151,1.236423746,1.108877932,2.093140455
